id,smiles,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0172,Fc0ccc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0,4.8,7.176724841,4.898682159
de_cp_0173,CCCC0CCC(c1cc(F)c(C#Cc2ccc(OC(F)(F)(F))cc2)c(F)c1)CC0,4.5,,10.06167813
de_cp_0174,CCCC0CCC(c1cc(F)c(C#Cc2cc(F)c(F)cc2)c(F)c1)CC0,6.6,15.43887304,12.77691192
de_cp_0175,CCCC0CCC(c1cc(F)c(C#Cc2cc(F)c([Cl])cc2)c(F)c1)CC0,5.8,12.08023067,14.23698943
de_cp_0176,CC=CC0COC(c1cc(F)c(C#Cc2cc(F)c(F)cc2)c(F)c1)OC0,20.8,19.09480346,18.42194786
de_cp_0177,CC=CC0CCC(C1CCC(c2ccc(F)cc2)CC1)CC0,1.8,2.945683284,3.355571504
de_cp_0178,CC=CC0CCC(C1CCC(c2cc(F)c(F)cc2)CC1)CC0,3.2,6.625973362,6.339060955
de_cp_0179,CC=CC0CCC(c1ccc(c2cc(F)c(F)cc2)cc1)CC0,4,7.02729485,6.299285829
de_cp_0180,[Cl]C=CC0CCC(C1CCC(c2cc(F)c(F)cc2)CC1)CC0,0.3,1.001479256,0.178917452
de_cp_0181,[Cl]C=CC0CCC(C1CCC(c2cc(F)cc(F)c2)CC1)CC0,0.3,0.42759953,0.410939564
de_cp_0182,[Cl]C=CC0CCC(C1CCC(c2ccc(F)cc2)CC1)CC0,0.4,0.389472127,0.498755013
de_cp_0183,CCCc0cc(F)c(C#Cc1ccc(C2CCC(C=CC)CC2)cc1)c(F)c0,1.2,1.213881116,0.99702587
de_cp_0184,CCCC0CCC(c1cc(F)c(C#CC2CCC(CC)CC2)c(F)c1)CC0,1.4,1.15897352,1.149434019
de_cp_0185,OCCc0cc(F)c(C#CC1CCC(C2CCC(C=C)CC2)CC1)c(F)c0,2.1,0.060743183,-0.155750604
de_cp_0186,CCOc0cc(F)c(C#CCCC1CCC(C2CCC(C=C)CC2)CC1)c(F)c0,2.1,1.933956615,3.003166454
de_cp_0187,CCCc0ccc(C#Cc1ccc(C2CCC(C=C[Cl])CC2)cc1)cc0,3,,4.804333342
de_cp_0188,CCCc0cc(F)c(C#Cc1ccc(C2CCC(C=C[Cl])CC2)cc1)c(F)c0,5.6,4.695134656,6.333867841
de_cp_0189,CCCc0cc(F)c(C#CC1CCC(C2CCC(C=C[Cl])CC2)CC1)c(F)c0,6,4.02739218,5.571174605
de_cp_0190,CCOc0cc(F)c(C#Cc1ccc(C2CCC(C=C[Cl])CC2)cc1)c(F)c0,6.9,6.609982028,11.95156568
de_cp_0191,CCOc0cc(F)c(C#CC1CCC(C2CCC(C=C[Cl])CC2)CC1)c(F)c0,7,5.010095975,9.626658207
de_cp_0192,CCCC0CCC(c1cc(F)c(C#CC2CCC(C=C[Cl])CC2)c(F)c1)CC0,7.1,2.487206206,2.013410794
de_cp_0193,CCOc1cc(F)c(C#CCCC2CCC(C3CCC(C=C[Cl])CC3)CC2)c(F)c1,7.5,5.263804605,8.436785552
de_cp_0194,CCCC0COC(c1cc(F)c(C#CC2CCC(C=C[Cl])CC2)c(F)c1)OC0,13.5,5.376508809,4.027663162
de_cp_0195,C0CC(CCCCC)CCC01CCC(c2ccc(F)cc2)CC1,-0.92,2.129310322,3.044404579
